--- Analyzing Designations by Continent (Percentages) ---

Continent: Africa (Total observed designations in this group: 1694)
  Designation: B.D.4.1.2, Percentage: 17.71%
  Designation: B.D.E.3.NmC3, Percentage: 7.67%
  Designation: B.D.E.3.NmC1, Percentage: 6.85%
  Designation: B.D.NmC1, Percentage: 6.79%
  Designation: B.D.E.5, Percentage: 6.55%
  Designation: B.D.3, Percentage: 5.67%
  Designation: B.D.4.1.1.NmC1, Percentage: 5.19%
  Designation: B.D.4.NmC4, Percentage: 4.84%
  Designation: B.D.1.NmC1, Percentage: 4.78%
  Designation: B.D.4.NmC1, Percentage: 4.37%
  Designation: B.D.E.4, Percentage: 4.25%
  Designation: B.D.4.1.3.NmC1, Percentage: 3.48%
  Designation: B.D.NmC2, Percentage: 3.25%
  Designation: B.D.4.1.NmC1, Percentage: 2.36%
  Designation: B.D, Percentage: 2.18%
  Designation: B.D.4.1.1, Percentage: 1.83%
  Designation: B.D.3.NmC1, Percentage: 1.77%
  Designation: B.D.2.NmC1, Percentage: 1.65%
  Designation: B.D.E.2, Percentage: 1.59%
  Designation: B.D.4.1.3.NmC2, Percentage: 1.53%
  Designation: B.D.2, Percentage: 1.42%
  Designation: B.D.4, Percentage: 0.83%
  Designation: B.D.1, Percentage: 0.77%
  Designation: B.D.NmC4, Percentage: 0.71%
  Designation: B, Percentage: 0.53%
  Designation: B.D.2.NmC3, Percentage: 0.41%
  Designation: B.D.4.NmC2, Percentage: 0.41%
  Designation: B.D.4.NmC3, Percentage: 0.24%
  Designation: B.D.4.1.1.NmC2, Percentage: 0.12%
  Designation: B.D.E.2.NmC1, Percentage: 0.12%
  Designation: B.D.3.NmC2, Percentage: 0.06%
  Designation: B.D.E.1, Percentage: 0.06%

Continent: Asia (Total observed designations in this group: 4219)
  Designation: B.D.4, Percentage: 12.02%
  Designation: B.D.E.2, Percentage: 10.57%
  Designation: B.D.E.3.NmC1, Percentage: 8.44%
  Designation: B.D.4.1.1.NmC1, Percentage: 7.40%
  Designation: B.D.2, Percentage: 7.11%
  Designation: B.D.E.4, Percentage: 6.76%
  Designation: B.D.2.NmC1, Percentage: 6.28%
  Designation: B.D.3.NmC1, Percentage: 5.10%
  Designation: B.D.4.NmC4, Percentage: 4.98%
  Designation: B.D.4.1.3.NmC1, Percentage: 4.91%
  Designation: B.D.E.3.NmC3, Percentage: 3.56%
  Designation: B.D.E.2.NmC1, Percentage: 3.44%
  Designation: B.D.NmC1, Percentage: 3.18%
  Designation: B.D.E.3.NmC2, Percentage: 2.35%
  Designation: B.D.1.NmC1, Percentage: 1.83%
  Designation: B.D.4.1.1, Percentage: 1.75%
