,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC6,0,12,22.038488355366653,,,,*,*,*
A.1.NmC2,0,28,9.378302955629824,3.9400208266373764,354.11995834672524,1.3780655548945816e-08,,,
A.1.NmC9,0,29,8.221764104519622,1.2319520428297566,359.5360959143405,9.169208146664249e-10,,,
A.1.NmC1,0,73,4.670534099741257,-6.334930939554557,374.66986187910913,4.752193062771153e-13,,,
A.1.NmC10,0,111,3.2478904964088726,-23.38438996150509,408.7687799230102,1.8714281573360043e-20,,,
A.1.NmC11,0,111,3.050684943915681,-47.94476775839783,457.88953551679566,4.035530964644036e-31,,,
A.1.NmC3,0,129,2.0393508657275667,-74.37025875894139,510.7405175178828,1.3479351536740048e-42,,,
A.1.NmC7,0,139,0.6825710439653795,-110.96557007945778,583.9311401589156,1.7244969653309092e-58,,,
A.1.NmC12,0,131,0.6777631321344193,-42.12030776879086,446.24061553758173,1.3666774890573946e-28,,,
A.1.NmC8,0,150,0.4042451198081102,-79.59160935035027,521.1832187007005,7.28872901701533e-45,,,
