,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC5,0,24,14.002068544515133,,,,*,*,*
A.1.NmC13,0,63,0.7683977222371356,-32.494861422209944,432.9897228444199,1.0143894991621906e-21,,,
A.1.NmC14,0,132,0.6599820240390563,-136.28067839993722,640.5613567998744,8.569430096736371e-67,,,
A.1,3213,144,0.6232282276172681,-61.875085238815096,491.7501704776302,1.7645455205659345e-34,,,
A.1.NmC7,0,130,-5.131138137665981,-71.5714961693222,511.1429923386444,1.0867955823883468e-38,,,
A.1.NmC9,0,144,-9.97455266694282,-223.7813995690081,815.5627991380162,8.554305850060443e-105,,,
A.1.NmC8,0,144,-9.97455266694282,-253.82167956312244,875.6433591262448,7.690924314952727e-118,,,
A.1.NmC6,0,144,-9.97455266694282,-215.87799392871656,799.7559878574332,2.3073377999971434e-101,,,
A.1.NmC2,0,144,-9.97455266694282,-210.81282284353134,789.6256456870626,3.6543718077686266e-99,,,
A.1.NmC11,0,144,-9.97455266694282,-268.9114101775685,905.822820355137,2.15017993914188e-124,,,
