,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC5,1745,24,14.38321077180394,,,,*,*,*
A.1.NmC14,72,130,0.7214431593644068,-126.16629245838351,626.332584916767,1.448133905165362e-62,,,
A.1,3213,144,0.6232282276172681,-52.0675524005376,478.1351048010752,2.1870482197847833e-30,,,
A.1.NmC7,1060,145,-5.652183320357402,-61.70666785430067,497.4133357086013,1.430312800267998e-34,,,
A.1.NmC9,215,144,-9.97455266694282,-204.59990829452357,783.1998165890471,1.250031720545169e-96,,,
A.1.NmC8,84,144,-9.97455266694282,-243.70729362156877,861.4145872431375,1.299676657236054e-113,,,
A.1.NmC6,294,144,-9.97455266694282,-205.76360798716283,785.5272159743256,3.8991322189771285e-97,,,
A.1.NmC2,1989,144,-9.97455266694282,-200.6984369019777,775.3968738039554,6.175462845453313e-95,,,
A.1.NmC11,114,144,-9.97455266694282,-249.09547932335084,872.1909586467017,5.929090255387606e-116,,,
A.1.NmC10,95,144,-9.97455266694282,-234.59003319155678,843.1800663831136,1.1814885616067267e-109,,,
