,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC5,1745,24,10.030246838468418,,,,*,*,*
A.1.NmC4,1744,99,1.199282226992779,-70.702250409666,501.404500819332,3.264358768187805e-36,,,
A.1.NmC13,668,99,1.143499495954913,-42.51165748713924,445.0233149742785,5.7089906079890574e-24,,,
A.1.NmC14,72,112,0.9217978406639136,-136.18251314745848,632.365026294917,1.1858335578177352e-64,,,
A.1,3213,144,0.6232282276172681,-58.384573997488275,476.76914799497655,7.280051110197206e-31,,,
A.1.NmC7,1060,145,-5.652183320357402,-64.26832355666849,488.536647113337,2.024470264996904e-33,,,
A.1.NmC9,215,144,-9.97455266694282,-223.6832343165293,807.3664686330586,1.183740671938211e-102,,,
A.1.NmC8,84,144,-9.97455266694282,-253.72351431064365,867.4470286212872,1.0642663561466511e-115,,,
A.1.NmC6,294,144,-9.97455266694282,-215.77982867623783,791.5596573524756,3.208887187286649e-99,,,
A.1.NmC2,1989,144,-9.97455266694282,-202.48807540079227,764.9761508015845,1.8972655179451053e-93,,,
