,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC3,406,149,2.8014638172014514,,,,*,*,*
A.1.NmC4,1744,149,0.922812520654646,0.922812520654646,2.154374958690708,0.15335496684492847,*,*,
A.1.NmC7,1060,149,-0.36110824564395294,-0.3611082456439527,4.722216491287906,0.042425741080511385,*,*,
A.1,3213,148,-0.8071044316794413,-0.879594440566404,5.759188881132808,0.025222974835227223,*,*,
A.1.NmC2,1989,149,-0.9974436693265574,-0.9974436693265678,5.994887338653136,0.02248290581673553,*,*,
A.1.NmC9,215,149,-9.964116347409501,-9.964116347409506,23.928232694819012,2.859110487115151e-06,,*,
A.1.NmC14,72,149,-9.964116347409512,-9.964116347409506,23.928232694819012,2.859110487115151e-06,,*,
A.1.NmC6,294,149,-9.964116347409515,-9.964116347409506,23.928232694819012,2.859110487115151e-06,,*,
A.1.NmC11,114,149,-9.964116347409515,-9.964116347409506,23.928232694819012,2.859110487115151e-06,,*,
A.1.NmC10,95,149,-9.964116347409515,-9.964116347409506,23.928232694819012,2.859110487115151e-06,,*,
