,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC14,0,23,0.7185900885720251,,,,*,*,*
A.1.NmC10,0,20,0.6986009949441581,-1.21922960024795,20.4384592004959,0.14370394977770273,*,,
A.1.NmC2,0,20,0.6965886690578493,-1.2222484687456587,20.444496937491316,0.14370394977770273,*,,
A.1.NmC3,0,20,0.6961349024489643,-1.224161785238337,20.448323570476674,0.14298722333809286,*,,
A.1.NmC9,0,20,0.6939389818383503,-1.2238916133537614,20.44778322670752,0.14298722333809286,*,,
A.1.NmC1,0,20,0.6868383778592921,-1.2302094384278752,20.46041887685575,0.14227407158651342,*,,
A.1.NmC7,0,23,0.6854715287220445,0.6854715287220433,16.629056942555913,0.9656054162575664,*,*,
A.1.NmC6,0,20,0.6779817077414236,-1.2466748525210856,20.49334970504217,0.14015588661581538,*,,
A.1.NmC12,0,17,0.6669230850495786,-1.2491255470303888,20.498251094060777,0.13945685621505086,*,,
A.1.NmC11,0,20,0.6445337736738814,-1.2732968215182259,20.546593643036452,0.13601365416684902,*,,
