,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC4,1744,62,2.3997279947472783,,,,*,*,*
A.1,3213,141,0.9502806611267263,-9.413430757696602,286.8268615153932,0.016907465652705546,*,,
A.1.NmC13,668,144,0.8542057216618677,-21.414936313828733,310.82987262765744,1.0388305932682583e-07,,,
A.1.NmC14,72,150,0.8528687674633171,-65.56876203482966,399.1375240696593,6.922642153448258e-27,,,
A.1.NmC7,1060,138,-5.209483308527163,-28.643435429720746,325.2868708594415,7.526544381011765e-11,,,
A.1.NmC10,95,138,-9.416430452486802,-124.49538740267455,516.9907748053491,1.776108678754885e-52,,,
A.1.NmC9,215,138,-9.42577631490504,-98.38573208852534,464.7714641770507,3.8805962431962765e-41,,,
A.1.NmC2,1989,138,-9.43813838431361,-93.39362398538735,454.78724797077473,5.702009330060793e-39,,,
A.1.NmC3,406,138,-9.448674262580456,-113.2500514306007,494.5001028612014,1.358660612499241e-47,,,
A.1.NmC1,1279,138,-9.507178615371341,-63.24656144324666,394.4931228864933,7.07956466517258e-26,,,
