,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC3,63,25,14.439257677407763,,,,*,*,*
B.1.19,13,39,0.3148573742760974,-60.05367763882798,180.10735527765596,4.4384626602872096e-33,,,
B.1.NmC1,132,39,0.3148573742760974,-38.0178285821917,136.0356571643834,1.6478264868902663e-23,,,
B.1.17.NmC6,201,39,0.3148573742760974,-80.88308364603304,221.7661672920661,3.9891329668615605e-42,,,
B.1.11.NmC2,36,39,0.3148573742760974,-54.0613892740602,168.12277854812038,1.7816729631100128e-30,,,
B.1.11.NmC1,47,39,0.3148573742760974,-59.59529255264878,179.19058510529754,7.030853233530425e-33,,,
B.1.8.NmC1,21,39,0.3148573742760974,-51.04245452921936,162.0849090584387,3.6508780372927455e-29,,,
B.1.8.NmC2,24,39,0.3148573742760974,-51.202855797691974,162.40571159538393,3.095556502213391e-29,,,
B.1.9,21,39,0.3148573742760974,-59.36958986664888,178.73917973329776,8.804897218561124e-33,,,
B.1.17,15,39,0.3148573742760974,-92.75746774768375,245.5149354953675,2.7912774843122037e-47,,,
