,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
F.4,113,14,9.689015400464479,,,,*,*,*
A.1.NmC3,0,6,8.045571246824824,7.742559268188403,110.5148814636232,3149.5031839508906,*,,
F.5,17,31,2.541521921348138,-63.698215698018366,253.39643139603675,2.9517039206736515e-28,,,
F.2.NmC1,0,31,2.541521921348138,-87.75056027414226,301.5011205482845,1.059962503851953e-38,,,
F.6,33,31,2.5107502626813845,-88.74346692941992,303.48693385883985,3.918929880116877e-39,,,
F.2.NmC2,0,31,2.4851801674147453,-89.20884190602428,304.41768381204855,2.4616174324780325e-39,,,
F.1,127,31,2.4680194593552116,-63.62979525116467,253.25959050232933,3.1657266035626615e-28,,,
B.1.20,87,31,2.4600520945704485,-59.58906963515647,245.17813927031295,1.798966652024435e-26,,,
F.1.NmC1,0,31,2.43844170024923,-56.841550828423834,239.68310165684767,2.8140573109548673e-25,,,
F.3,76,31,2.407998054213693,-67.05584766791571,260.1116953358314,1.0304212475403993e-29,,,
