,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.13,353,65,14.249786620365583,,,,*,*,*
B.1.NmC2,0,41,6.905091871779094,-52.69183789644666,259.3836757928933,8.47866314873566e-30,,,
B.1.17.NmC1,0,45,4.586087309296097,-99.58612198016118,353.17224396032236,3.64827571710309e-50,,,
B.1.13.NmC1,0,61,4.343495444247289,-9.4926151993846,172.9852303987692,4.871666243023621e-11,,,
B.1.2,132,21,4.084701565420414,-13.829656535027027,181.65931307005405,6.382795764174015e-13,,,
B.1.22,36,9,3.5238490259654283,-115.5141282429579,385.0282564859158,4.403282566691069e-57,,,
B.1.17.NmC4,0,21,3.279508192136881,-116.12283231929793,386.2456646385958,2.392527409392154e-57,,,
B.1.NmC3,0,9,2.6185002504336565,-47.34954301814449,248.69908603628897,1.767909032771162e-27,,,
B.1.13.NmC3,0,21,2.435417494934949,-33.74073564967376,221.4814712993475,1.439487219894844e-21,,,
B.1.22.NmC1,0,9,2.4036358309610444,-102.67343537491789,359.3468707498358,1.6600367533511227e-51,,,
