,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
C.1.NmC1,0,56,12.23006152448609,,,,*,*,*
B.1.3,115,65,10.55418243612749,7.3309530417426165,111.33809391651477,0.007446583070924351,*,,
B.1.3.NmC1,0,40,7.6822127912967675,-72.98937202973408,271.97874405946817,9.75942547839391e-38,,,
C.1.NmC2,0,38,7.612742149389301,-73.3677310690687,272.7354621381374,6.674094460757461e-38,,,
C.1,87,38,7.586551518336386,2.455163324281963,121.08967335143608,5.6855363355074975e-05,*,,
B.1.3.NmC2,0,40,7.570302008691223,-48.46773853649446,222.93547707298893,4.348354557246417e-27,,,
B.1.13,353,65,7.362590975563705,3.94635591120984,118.10728817758032,0.0002522726779741288,*,,
B.1.NmC4,0,57,6.830506578589031,6.6006331076597915,112.79873378468042,0.0035885753273319633,*,*,
B.1.13.NmC1,0,58,5.826139825431572,5.075012856010228,115.84997428797955,0.000780949555374482,*,,
E.3,17,38,4.337468437145927,-22.266214803442058,170.5324296068841,1.0447487176378618e-15,,,
