,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.NmC7,0,58,12.01753455611323,,,,*,*,*
B.1.13,353,57,6.522594566150774,5.868632249061824,116.26273550187635,0.002133481770037697,*,*,
B.1.1,446,47,6.044809993946954,4.958674303834988,118.08265139233002,0.000858778093974335,*,,
B.1.13.NmC2,0,39,4.323400486787045,-36.567998724874506,201.13599744974903,7.900073362869298e-22,,,
B.1.NmC10,0,43,3.563852430697394,-12.363663396608718,152.72732679321743,2.568792702412633e-11,,,
B.1.2.NmC3,0,36,2.9308739904316603,-25.469657867186086,178.93931573437217,5.2275701983634694e-17,,,
B.1.2.NmC2,0,36,2.9308739904316603,-14.832568715579228,157.66513743115846,2.172809685378212e-12,,,
B.1.2.NmC5,0,36,2.9308739904316603,-15.498458704977125,158.99691740995425,1.1174185019345832e-12,,,
B.1.NmC6,0,36,2.921985043014414,-45.9510391935323,219.9020783870646,6.667282914875721e-26,,,
B.1.NmC9,0,36,2.9078844722069617,-41.18162284189849,210.36324568379698,7.862009472594726e-24,,,
