,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.NmC7,172,49,11.892461785190958,,,,*,*,*
B.1.13.NmC2,242,34,5.1237169403276175,-25.906888960656616,181.81377792131323,3.853364184486792e-17,,,
B.1.2.NmC5,21,22,1.9658809912034505,-17.453897830597853,164.9077956611957,1.8014757838891866e-13,,,
B.1.12.NmC2,25,22,1.9658809912034505,-49.32690410736459,228.65380821472917,2.598144433565637e-27,,,
B.1.2.NmC3,26,22,1.9658809912034505,-26.991317326149062,183.98263465229812,1.3020586396408197e-17,,,
B.1.2.NmC2,63,22,1.9658809912034505,-14.299708843927153,158.5994176878543,4.225007837886791e-12,,,
B.1.1.NmC1,35,22,1.9658809912034505,-56.987675721130586,243.97535144226117,1.2184173833079726e-30,,,
B.1.NmC6,113,22,1.9569920437862043,-48.004058647491895,226.00811729498378,9.725949413820992e-27,,,
B.1.17.NmC3,53,22,1.946832796232756,-52.359412880568364,234.7188257611367,1.2490491774577263e-28,,,
B.1.NmC9,44,22,1.9428914729787519,-40.24188606528604,210.48377213057208,2.2920741245027957e-23,,,
