,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.NmC7,172,59,14.64521315092933,,,,*,*,*
B.1.13,353,64,9.594678686361762,8.838562330465217,122.32287533906957,0.0030124547530879604,*,,
B.1.NmC3,263,47,6.686893271153956,-16.06502247081324,172.13004494162647,4.6006210346577177e-14,,,
B.1.13.NmC1,402,58,4.82283068371764,-5.17716931628236,150.35433863256472,2.4676489048448567e-09,,*,
B.1.13.NmC3,123,43,4.485379487361473,-2.637880189433225,145.27576037886644,3.113292176520902e-08,,,
C.1.NmC1,66,20,3.247501495754263,-31.11947134353902,202.23894268707804,1.332027023574051e-20,,,
B.1.13.NmC2,242,39,2.9371061256671553,-34.66838406194493,209.33676812388984,3.826199626187381e-22,,,
B.1.17.NmC6,201,43,2.4919847655729965,-76.52793608876864,293.05587217753725,2.5304666180914764e-40,,,
E.3,17,20,2.4415719026321696,-49.166690921957965,238.33338184391593,1.9394076741142404e-28,,,
B.1.2.NmC3,26,16,1.6001734218435357,-44.93829787218947,229.87659574437896,1.326060368958261e-26,,,
