,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.1,446,49,6.485764297933995,,,,*,*,*
B.1.11.NmC2,36,60,0.9688196913650473,-32.11632810797993,110.23265621595986,1.722792603520286e-17,,,
B.1.8.NmC2,24,60,0.9688196913650473,-29.257794631611716,104.51558926322343,2.9932551911677974e-16,,,
B.1.NmC10,223,60,0.95527546625729,-18.43415247844687,82.86830495689374,1.504462998551128e-11,,,
B.1.7,59,60,0.9517252580057471,-26.95685595802817,99.91371191605634,3.0004923591262316e-15,,,
B.1.3.NmC1,58,60,0.9514279486531785,-31.64468182307218,109.28936364614435,2.7564581617502725e-17,,,
B.1.18,68,60,0.9391895197947662,-31.562300314748285,109.12460062949657,3.001003044337619e-17,,,
C.1.NmC2,32,60,0.9370709930504675,-32.14877244257041,110.29754488514082,1.663537869047668e-17,,,
B.1.NmC2,322,60,0.9344782704460114,-17.742101866914812,81.48420373382962,3.014506161605645e-11,,,
B.1.13.NmC2,242,60,0.9102893108601602,-5.713114202591581,57.42622840518316,5.030455607111448e-06,,,
