,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC1,241,56,3.0697977997340695,,,,*,*,*
B.1.17.NmC2,182,57,1.7278967330025379,1.724048372354704,12.551903255290592,0.26053970785997543,*,*,
B.1.9,21,56,1.6597287331214146,-3.4659844158724793,22.93196883174496,0.0014517290277530485,*,*,
A.1.NmC2,82,56,1.396144212248694,1.396144212248694,13.207711575502612,0.18730817948195688,*,*,
B.1.17.NmC3,53,56,1.3509136579698826,1.3509136579698828,13.298172684060233,0.1790661479114931,*,*,
B.1.14,40,56,1.3442257224672247,1.288100406133895,13.423799187732211,0.16863814726859547,*,*,
B.1.NmC5,256,56,0.722140421617253,0.722140421617253,14.555719156765495,0.09536916221554957,*,*,
B.1.NmC8,55,56,0.6969179856123666,0.6969179856123666,14.606164028775266,0.09301448921066349,*,*,
B.1.5,25,56,0.6289401873356707,0.1028112417566055,15.794377516486788,0.0515604692451142,*,*,
C.1,87,56,0.4458632304804637,-1.8723389238805823,19.744677847761164,0.007154598372314585,*,*,
