,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
F.2,70,39,22.117883534508366,,,,*,*,*
B.1.20.NmC1,0,1,9.031522197473743,8.042858961043676,125.91428207791265,4.8473687062702556e-11,,,
B.1.13.NmC3,0,45,8.492893359775286,7.185179072783671,127.62964185443266,2.0512226355072145e-11,,,
B.1.20,87,60,8.214174928654362,-14.935894956802667,171.87178991360534,5.074799175805094e-21,,,
B.1.13.NmC2,0,63,2.682954256130475,-38.558030095640426,219.11606019128084,2.7874797796296646e-31,,,
F.5,17,65,2.541521921348138,-55.25296378792352,252.50592757584704,1.5655442604250922e-38,,,
F.2.NmC1,0,65,2.541521921348138,-1.5415111531061028,145.0830223062122,3.3326786995726924e-15,,,
F.6,33,65,2.5107502626813845,-65.19887624904979,272.3977524980996,7.509425754544862e-43,,,
F.2.NmC2,0,65,2.4851801674147453,-3.171402050421152,148.3428041008423,6.529703183091027e-16,,,
F.1,127,65,2.4680194593552116,-25.11142876050865,192.22285752101732,1.9340714197226333e-25,,,
