,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.1.NmC2,0,13,5.418466997823612,,,,*,*,*
B.1.3,115,30,1.5711714088710513,-21.745032174541855,163.4900643490837,1.5936406501952902e-12,,,
B.1.19,13,31,0.3148573742760974,-41.711098633835896,203.42219726767178,3.4017396171473236e-21,,,
B.1.9,21,31,0.3148573742760974,-43.32291282729956,206.64582565459912,6.765742731195222e-22,,,
B.1.17,15,31,0.3148573742760974,-40.39019266269825,200.78038532539648,1.2734144802704388e-20,,,
B.1.17.NmC6,0,31,0.3148573742760974,-33.95449787694224,187.90899575388448,7.93697066318849e-18,,,
B.1.11.NmC2,0,31,0.3148573742760974,-81.14195264673769,282.2839052934754,2.555463289349949e-38,,,
B.1.8.NmC1,0,31,0.3148573742760974,-82.80893146974002,285.61786293948,4.8105846556765995e-39,,,
B.1.8.NmC2,0,31,0.3148573742760974,-83.06691306655152,286.13382613310307,3.7278014145222395e-39,,,
B.1.11.NmC1,0,31,0.3148573742760974,-56.494205299049774,232.98841059809956,1.2902003428361478e-27,,,
