,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.13.NmC3,0,40,5.269362830709445,,,,*,*,*
B.1.7,59,41,1.7138480836265078,-8.286151916373493,66.57230383274698,1.297592413714418e-06,,*,
B.1.21,75,45,1.5869724998209236,-32.85775427993968,115.71550855987935,2.756458161750292e-17,,,
B.1,452,42,1.5749544908416626,0.46500772295113096,49.069984554097736,0.008188701014374083,*,,
B.1.4,29,42,1.5145754284909925,-18.86997004939509,87.73994009879019,3.281944305807561e-11,,,
B.1.14,40,45,1.2943143299440867,-23.619499875170582,97.23899975034116,2.8394381807464357e-13,,,
B.1.7.NmC1,0,42,1.2557466667077648,-19.179638487957725,88.35927697591545,2.4071320615921883e-11,,,
B.1.1,446,42,1.1942333139233545,-19.167805335526545,88.33561067105309,2.431324141004843e-11,,,
B.1.NmC2,0,42,1.1660284367560843,-18.833971563243914,87.66794312648783,3.398846206276997e-11,,,
B.1.3,115,42,1.1602003827878127,-11.556516631671855,73.11303326334371,4.93168514451363e-08,,,
