,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.17,15,42,13.046746809699926,,,,*,*,*
B.1,452,61,12.76394055607267,4.701185774140377,76.59762845171925,0.00023758146090835426,*,,
B.1.6,35,53,10.290324162877287,7.121956709183449,71.7560865816331,0.0026718076851994384,*,,
B.1.17.NmC2,0,39,6.4115324121177695,-23.58846758788223,133.17693517576447,1.2291974637088682e-16,,,
B.1.NmC10,0,56,5.9072621881725,3.7541537449466515,78.4916925101067,9.234306028007071e-05,*,,
B.1.13.NmC1,0,47,5.377500378056911,2.5797680633935105,80.84046387321298,2.851728965696063e-05,*,,
B.1.17.NmC1,0,43,5.056366155365938,4.748755851268591,76.50248829746282,0.0002497625228877424,*,*,
B.1.13,353,47,4.566457574865149,3.2075772757607037,79.58484544847859,5.354436475185504e-05,*,,
B.1.NmC4,0,47,4.348485954674674,2.3888889694168607,81.22222206116628,2.358263315713222e-05,*,,
B.1.17.NmC5,0,42,3.414821317859447,3.414821317859447,79.1703573642811,6.572704982043283e-05,*,*,
