,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.17,15,45,23.811213247299424,,,,*,*,*
B.1,452,63,13.652441485413865,10.590297782156634,90.81940443568674,4.2126657873786235e-07,,,
B.1.6,35,22,9.258356279010592,-7.142983000027684,126.28596600005537,8.36265863358317e-15,,,
B.1.NmC10,223,46,7.998616074872167,7.248370485501912,97.50325902899618,1.492840594025608e-08,,*,
B.1.17.NmC5,119,45,7.966067879430993,7.013279723729064,97.97344055254187,1.1801962567790919e-08,,*,
B.1.17.NmC2,182,22,6.201996962986598,-33.38268114052869,178.76536228105738,3.36091217520003e-26,,,
B.1.22,36,10,2.7841349757867144,-68.33351932356378,248.66703864712755,2.227742660122066e-41,,,
B.1.17.NmC1,375,22,2.743932969757824,-5.209654759648125,122.41930951929625,5.79034167990197e-14,,,
B.1.2.NmC6,61,16,1.9469283458695672,-45.739771176231585,203.47954235246317,1.4479342461505424e-31,,,
B.1.13,353,22,1.3790032642304246,-26.99570552211326,165.9914110442265,2.0026216333465032e-23,,,
