,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.13.NmC1,402,45,12.565200851223537,,,,*,*,*
B.1,452,62,6.65037134682623,3.257133009079228,127.48573398184155,4.690365719381954e-06,,,
B.1.2.NmC5,21,3,0.32740339619124115,-35.53408487158151,205.06816974316303,6.682265915003174e-23,,,
B.1.8.NmC2,24,3,0.32740339619124115,-93.7935421522961,321.58708430459217,3.333705552074684e-48,,,
B.1.8.NmC1,21,3,0.32740339619124115,-93.7935421522961,321.58708430459217,3.333705552074684e-48,,,
B.1.11.NmC1,47,3,0.32740339619124115,-48.40486755711746,230.8097351142349,1.7201003012980253e-28,,,
B.1.3.NmC1,58,3,0.32740339619124115,-81.43016354897158,296.8603270979431,7.815891233327925e-43,,,
F.5,17,3,0.32740339619124115,-46.51882053754169,227.0376410750834,1.1329190260165764e-27,,,
B.1.22,36,3,0.32740339619124115,-59.5707865585429,253.14157311708578,2.4358799543344827e-33,,,
B.1.2.NmC3,26,3,0.32740339619124115,-35.614127579255054,205.2282551585101,6.168508897041691e-23,,,
