,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.3.NmC2,0,59,29.883695689839115,,,,*,*,*
B.1.17.NmC2,0,43,9.866181663982127,-79.57862942121545,311.1572588424309,2.883729621211623e-48,,,
C.1.NmC2,0,22,6.679488888238034,-64.78659999540776,281.5731999908155,7.679649481973021e-42,,,
C.1.NmC1,0,22,6.665198455755072,-50.28841081542734,252.57682163085468,1.5150951689718643e-35,,,
C.1,87,22,6.664859079586195,-50.17063943533171,252.34127887066342,1.708265032858907e-35,,,
B.1.3.NmC1,0,22,6.658754524029475,-61.552215677956376,275.10443135591277,1.951120298702438e-40,,,
B.1.3,115,22,6.092696351120836,-20.829240083745606,193.6584801674912,9.435292112523258e-23,,,
E.3,17,22,3.404215175994661,-87.07065782366962,326.14131564733924,1.6109752528160075e-51,,,
C.1.1,90,22,2.9799447411440534,-62.010204200264276,276.02040840052854,1.2317103349874625e-40,,,
B.1.2.NmC3,0,19,1.8913924896597374,-53.19505379658533,258.3901075931707,8.294962814737239e-37,,,
