,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.17.NmC2,0,37,13.96932954787437,,,,*,*,*
B.1.22.NmC1,0,48,7.055100496042724,-12.76933707527843,113.53867415055686,2.3071687326222987e-12,,,
B.1.NmC10,0,10,3.3071557266722817,-45.86008959066402,179.72017918132804,9.82369683048204e-27,,,
B.1.22,36,19,1.0739499743019096,-27.833290070217068,143.66658014043412,6.6135248165632105e-19,,,
B.1.1.NmC1,0,7,0.6893066900058359,-60.29323282840679,208.58646565681357,5.287301851642421e-33,,,
C.1,87,7,0.6893066900058359,-61.92174618329056,211.84349236658113,1.0411314649171462e-33,,,
B.1.3.NmC1,0,7,0.6893066900058359,-61.74774414203616,211.49548828407234,1.2340581762285568e-33,,,
B.1.3.NmC2,0,7,0.6893066900058359,-61.97633221778534,211.95266443557068,9.854154686111257e-34,,,
B.1.2.NmC3,0,7,0.6893066900058359,-56.9816442222408,201.9632884444816,1.4551920467624064e-31,,,
B.1.2.NmC2,0,7,0.6893066900058359,-56.9816442222408,201.9632884444816,1.4551920467624064e-31,,,
