,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
F.6,33,38,39.69182480955454,,,,*,*,*
F.1.NmC2,27,63,14.212172995135498,-26.876193608931924,179.75238721786386,3.516804587999918e-30,,,
F.2.NmC1,41,64,13.359904796707166,-15.433814171692362,156.86762834338472,3.2694681448672324e-25,,,
F.2.NmC2,36,64,12.450458211180907,-67.86330672116594,261.7266134423319,5.551590502412135e-48,,,
F.4,113,65,3.92723742472032,-57.91198249089152,241.82396498178304,1.1690120597631823e-43,,,
F.5,17,69,2.541521921348138,-95.35565211639565,316.7113042327913,6.392373119464396e-60,,,
B.1.13.NmC1,402,63,2.5116186746133398,-39.98318112010338,205.96636224020676,7.121108117437374e-36,,,
F.1,127,69,2.4680194593552116,-63.56919757919744,253.13839515839487,4.07110425233852e-46,,,
B.1.20,87,69,2.4600520945704485,-11.365680413930656,148.73136082786132,1.9145012385437568e-23,,,
F.1.NmC1,79,69,2.43844170024923,-95.71341923551913,317.42683847103825,4.4598073928630754e-60,,,
