,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.13.NmC3,123,63,32.73161757919102,,,,*,*,*
B.1.13.NmC1,402,32,6.889935961087274,-19.785116104156394,197.5702322083128,1.5596432962460035e-23,,,
C.1.NmC1,66,20,3.247501495754263,-76.43488911892258,310.86977823784514,3.892627827860365e-48,,,
E.3,17,20,2.4415719026321696,-110.76208244052654,379.5241648810531,4.8204190235234237e-63,,,
B.1.13,353,21,2.1389047485857406,-49.66926202802904,257.3385240560581,1.6373242389689542e-36,,,
B.1.NmC7,172,21,2.1185645376434086,-52.03548794021643,262.07097588043285,1.538254667274845e-37,,,
B.1.13.NmC2,242,21,2.013425931159747,-75.41209370745489,308.8241874149098,1.0849125348701994e-47,,,
B.1.NmC3,263,21,1.9828081066480008,-61.06238719778526,280.1247743955705,1.851486468147575e-41,,,
B.1.2.NmC2,63,16,1.6001734218435357,-76.69635167639228,311.39270335278457,3.0014168596148535e-48,,,
B.1.1.NmC1,35,16,1.6001734218435357,-115.12008399948057,388.24016799896117,6.159718291577813e-65,,,
