,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.13.NmC3,0,62,28.057005228614415,,,,*,*,*
B.1.2.NmC5,0,10,1.044643935104416,-100.73394567088508,365.46789134177016,1.1673838361502299e-56,,,
B.1.2.NmC2,0,10,1.044643935104416,-80.93301861818952,325.86603723637904,4.6370781726185627e-48,,,
B.1.1.NmC1,0,10,1.044643935104416,-107.07081458373118,378.1416291674624,2.0699417911172736e-59,,,
B.1.2.NmC3,0,10,1.044643935104416,-36.607519190004865,237.21503838000973,8.247974844567696e-29,,,
B.1.12.NmC2,0,10,1.044643935104416,-103.55678063473796,371.1135612694759,6.958301405691292e-58,,,
B.1.22,36,10,1.044643935104416,-117.55173678281307,399.10347356562613,5.815030038322319e-64,,,
C.1.NmC2,0,10,1.044643935104416,-124.15033631332302,412.300672626646,7.91058100151463e-67,,,
C.1,87,10,1.044643935104416,-84.56318735489808,333.12637470979615,1.229576199436124e-49,,,
B.1.NmC1,0,10,1.0370393357191967,-119.29380657197949,402.58761314395895,1.0155658568844994e-64,,,
