,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.7.NmC1,0,54,1.723460728166927,,,,*,*,*
F.1.NmC1,0,54,1.6609350869187836,-14.450583957034151,60.9011679140683,2.406312880716469e-07,,*,
B.1.4,29,54,1.6581490187789854,-0.6628084916201555,33.32561698324031,0.23340036390115174,*,*,
B.1.20,87,54,1.6351860581598032,-2.410494209194374,36.82098841838875,0.040762203978366246,*,*,
B.1.8,49,54,1.616362592610571,1.4144985389203941,29.17100292215921,1.8682459574322223,*,*,
B.1.12,86,54,1.609524054830132,0.7745983109064299,30.45080337818714,0.9851119396030639,*,*,
B.1.2,132,54,1.609104871596358,0.7273457173615938,30.545308565276812,0.9370674633774039,*,*,
B.1.1,446,54,1.5547355509865781,0.736324424062432,30.527351151875138,0.9464851479534842,*,*,
B.1.7,59,54,1.5117419610374014,0.6892177289295733,30.621564542140852,0.9048374180359599,*,*,
C.1,87,54,1.4884459259442337,-2.21511727810828,36.43023455621656,0.04953875432844392,*,*,
