,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.22,36,52,46.0109020766796,,,,*,*,*
B.1.22.NmC1,23,60,45.373033087438,41.36719342905142,35.26561314189716,0.009609529659669633,*,,
B.1.17.NmC4,116,50,17.80630948945432,7.315956245355583,103.36808750928884,1.5666609653434084e-17,,,
B.1.17.NmC6,201,9,1.8263301043527165,-19.820347657581816,157.64069531516364,2.5727302698958457e-29,,,
B.1.1.NmC1,35,4,0.3821181013617889,-127.58430520984332,373.1686104196866,4.0611535852268813e-76,,,
B.1.2.NmC5,21,4,0.3821181013617889,-95.84894224585761,309.69788449171523,2.460281478691458e-62,,,
F.5,17,4,0.3821181013617889,-96.04743178307898,310.094863566158,2.024404869240655e-62,,,
B.1.3.NmC1,58,4,0.3821181013617889,-141.74502092324767,401.49004184649533,2.877660465090101e-82,,,
B.1.3.NmC2,37,4,0.3821181013617889,-141.74733580910078,401.49467161820155,2.877660465090101e-82,,,
B.1.2.NmC3,26,4,0.3821181013617889,-95.92898495353114,309.8579699070623,2.27112604969234e-62,,,
