,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.4,29,50,22.808977917991108,,,,*,*,*
B.1.17.NmC3,0,57,18.69058540295895,16.119698620970407,69.76060275805918,0.0012432827729612394,*,,
B.1.NmC7,0,53,11.46852927400141,8.99695961741358,84.00608076517284,1.0005106883211742e-06,,,
B.1.13,353,53,8.092468488683316,5.620446347191544,90.75910730561691,3.4235593105060364e-08,,,
B.1.17.NmC1,0,47,5.5265376704393265,-18.62327124915178,139.24654249830357,1.011598419962099e-18,,,
B.1.NmC4,0,45,5.2961479678905725,-3.326341018410323,108.65268203682065,4.463892378049675e-12,,,
B.1.17.NmC5,0,44,4.802643795124735,-39.21218635925612,180.42437271851225,1.161599007704603e-27,,,
B.1.13.NmC2,0,41,4.713162795459315,-39.37575779983602,180.75151559967205,9.84912485307497e-28,,,
B.1.13.NmC1,0,45,4.280950723321924,-0.78654552158907,103.57309104317814,5.660068660288341e-11,,,
B.1.NmC10,0,45,3.780674412141587,3.4540679956425984,95.09186400871481,3.928532069704727e-09,,,
