,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.NmC4,180,57,11.204886840738046,,,,*,*,*
B.1.13.NmC1,402,56,11.1793522213499,5.470694475063399,117.0586110498732,0.003230882368344989,*,*,
B.1.13,353,56,9.760023665249365,8.72542919557559,110.54914160884883,0.08374322559219621,*,*,
B.1.NmC7,172,43,5.8800824393081,-1.4918819750570704,130.98376395011414,3.0664193885407505e-06,,,
B.1.NmC3,263,43,5.264993192710632,-17.842673535427227,163.68534707085445,2.4196096098765935e-13,,,
B.1.NmC1,132,39,4.614382953107107,-33.28673407040809,194.57346814081617,4.766926987557926e-20,,,
B.1.17.NmC6,201,47,4.42553492551212,-40.50514178272216,209.01028356544433,3.4884487001214986e-23,,,
B.1.2.NmC2,63,56,0.4569232933323558,-4.497147110630425,136.99429422126084,1.5190659675689586e-07,,*,
B.1.2.NmC5,21,4,0.3821181013617889,-6.557403716856904,141.11480743371382,1.9361098809878034e-08,,,
B.1.2.NmC1,56,4,0.3821181013617889,-88.65018388306457,305.30036776612917,4.300555032683501e-44,,,
