,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.NmC4,0,60,13.49151648927996,,,,*,*,*
C.1,87,16,1.6001734218435357,-19.9230544031284,185.8461088062568,3.076450184830136e-15,,,
B.1.12.NmC2,0,16,1.6001734218435357,-80.97449085562843,307.94898171125686,9.426962229253216e-42,,,
C.1.NmC2,0,16,1.6001734218435357,-96.94721505258507,339.89443010517016,1.0931729858776669e-48,,,
B.1.2.NmC3,0,16,1.6001734218435357,-56.22489777871807,258.4497955574361,5.2864021035168416e-31,,,
B.1.2.NmC2,0,16,1.6001734218435357,-34.49714711063042,214.99429422126084,1.4467026796113914e-21,,,
B.1.1.NmC1,0,16,1.6001734218435357,-97.02634360888398,340.0526872177679,1.0091258526919486e-48,,,
B.1.2.NmC5,0,16,1.6001734218435357,-36.5574037168569,219.1148074337138,1.8438799977394634e-22,,,
B.1.NmC1,0,16,1.5925688224583163,-66.99050213701581,279.98100427403165,1.1168120634769863e-35,,,
B.1.NmC6,0,16,1.5912844744262895,-56.79575798183076,259.59151596366155,2.9895948687335377e-31,,,
