,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.1.13.NmC2,0,42,5.3805844933973095,,,,*,*,*
B.1.1.NmC1,0,42,5.33768882469694,5.33768882469694,25.32462235060612,0.9607894391523223,*,*,
B.1.8.NmC1,0,42,5.295159475872669,5.295159475872669,25.40968104825466,0.9185122844014566,*,*,
B.1.3.NmC2,0,42,4.948655109485292,2.8401734861063144,30.31965302778737,0.07886639979067488,*,*,
B.1.13,353,42,4.920271201304338,4.920271201304339,26.159457597391324,0.6312836455069254,*,*,
B.1.13.NmC3,0,42,4.442284692774624,4.442284692774625,27.11543061445075,0.3906278353585206,*,*,
B.1.NmC7,0,42,4.014775756788143,4.014775756788142,27.970448486423717,0.2553806759880776,*,*,
B.1.8.NmC2,0,45,3.060238475331129,-19.08292514120153,74.16585028240306,2.37129453407579e-11,,,
B.1.8,49,42,3.043166042199911,3.0431660421999105,29.91366791560018,0.09681048252646013,*,*,
B.1.7,59,45,3.043144041971829,-16.78198646761799,69.56397293523598,2.3770279098576684e-10,,,
