,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.3,128,43,3.7821666500362525,,,,*,*,*
A.D,2353,43,3.5867419514578636,3.586741951457863,10.826516097084273,0.8228346580560182,*,*,
A.3.1.1,731,43,3.495916757999737,3.4959167579997374,11.008166484000526,0.7520142543193825,*,*,
A.3.1.NmC1,0,43,3.288813784518208,3.288813784518208,11.422372430963584,0.6126263941844159,*,*,
A.D.4.NmC3,0,43,3.1958173887811645,3.195817388781165,11.60836522243767,0.5571058618121739,*,*,
A.D.3.6,757,45,2.7548240815060474,1.436372016051735,15.12725596789653,0.0958472021304986,*,,
A.D.3.NmC2,0,45,2.7373222555447185,1.196682183883363,15.606635632233274,0.07539607960112776,*,,
A.D.5.3,354,43,2.610382852393059,2.6103828523932195,12.779234295213561,0.31036694126548503,*,*,
A.D.NmC1,0,44,2.5956879677251266,-2.7705072853348027,23.541014570669606,0.0014301155983078744,*,*,
A.D.NmC2,0,44,2.45702325805113,2.077869602289497,13.844260795421006,0.1826835240527346,*,*,
