,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.3.1,1992,29,17.93513884318163,,,,*,*,*
A.D.4.NmC1,0,21,10.961666636983008,4.54071630007118,66.91856739985764,1.522738803610367e-06,,,
A.D.5.3,354,21,8.538597130724497,-6.413225808811462,88.82645161762292,2.6602923504391688e-11,,,
A.D.2.2.1,40,12,3.172854938807479,-35.254375270253036,146.50875054050607,7.941023981411713e-24,,,
A.D.3.12,401,14,3.087671801528984,-16.68150713720141,109.36301427440281,9.266089889070652e-16,,,
A.3.1.1,731,21,3.061504989172357,-4.679846946001863,85.35969389200372,1.5081005271654298e-10,,,
A.3,202,7,2.1680622987156823,-54.69644445995075,185.3928889199015,2.8654430367180534e-32,,,
A.2.1,366,5,1.8827451659644794,-85.175813746664,246.351627493328,1.6591894246893358e-45,,,
A.D.4.NmC3,0,21,1.3553316672438704,-21.95563714259217,119.91127428518433,4.742344690722627e-18,,,
A.D.3.3,1219,8,0.6323239614155796,-26.281814201141678,128.56362840228337,6.275805603974262e-20,,,
