,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.3.6,757,8,6.697869728701633,,,,*,*,*
A.D,2353,10,6.531352144469528,-2.82796795423518,57.65593590847036,7.263962399245194e-05,*,,
A.D.NmC2,0,11,6.241552423041819,-3.5254677854331735,59.05093557086634,3.625258024588078e-05,*,,
A.D.4.NmC3,0,10,5.759896311761494,-14.24010368823851,80.48020737647701,8.051439778745473e-10,,,
A.D.3,128,11,5.698583521898305,-24.301416478101697,100.6028329562034,3.442477108469989e-14,,,
A.D.NmC1,0,16,5.100147052662735,-29.730579665795524,111.46115933159105,1.5088706964918205e-16,,,
A.D.3.NmC2,0,17,3.9684969552980345,-34.29145078428861,120.58290156857721,1.5785894164706838e-18,,,
A.D.3.NmC1,0,17,2.5783694877051846,-33.87081336546143,119.74162673092286,2.4025524039748373e-18,,,
A.3.1.NmC1,0,14,1.955177590513736,-43.37528586894187,138.75057173788375,1.7893851082057064e-22,,,
A.3.1.1,731,14,1.049635217555726,-30.06716798926986,112.13433597853972,1.0793526765819045e-16,,,
