,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.NmC1,0,7,3.232335012489982,,,,*,*,*
A.D.NmC2,0,7,3.118500185094972,1.940692453117889,22.118615093764223,0.3605949401730778,*,*,
A.D.2.2.NmC1,0,8,3.0127289221055387,3.0127289221055387,19.974542155788924,1.056540614675494,*,*,
A.D,2353,7,2.8970810710217862,2.0220345183236046,21.95593096335279,0.3906278353585206,*,*,
A.D.5.NmC1,0,8,1.3424524330021943,1.3424524330021943,23.315095133995612,0.1978986990836145,*,*,
A.3.1.NmC2,0,3,0.7842629544639835,-32.578008622055584,91.15601724411117,3.674295772989613e-16,,,
A.3.1,1992,3,0.6250728530767242,-8.760078721151162,43.52015744230232,8.129590538020497e-06,,,
A.3.1.1,731,3,0.5252628294081298,-3.526597415427013,33.053194830854025,0.0015261607666468477,*,,
A.D.3.6,757,3,0.5207514923468091,-1.1753753310686874,28.350750662137376,0.016002665129819175,*,,
A.D.2.1,76,8,0.17462040146284794,0.17462040146284794,25.650759197074304,0.06172908903095879,*,*,
