,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D,2353,19,9.805043907339703,,,,*,*,*
A.D.NmC2,637,18,7.910670876069005,6.57688847835086,52.84622304329828,0.03955749878839871,*,*,
A.D.NmC1,515,12,5.915889097958095,3.0050314228253012,59.9899371543494,0.0011137751478448024,*,,
A.D.2.2.NmC1,394,12,4.6430261332529215,-4.3566085096346825,74.71321701926936,7.085820333311372e-07,,,
A.D.5.NmC1,425,12,2.7906542709749336,-11.519260664577114,89.03852132915424,5.478607319810273e-10,,,
A.D.2.1,76,12,2.7208910957066212,-18.770203459936198,103.5404069198724,3.8907666050545765e-13,,,
A.3.1.NmC2,67,3,0.7842629544639835,-53.91430403617924,173.82860807235846,2.1220500026363442e-28,,,
A.3.1,1992,3,0.6250728530767242,-15.805327493302778,97.61065498660555,7.546026368686072e-12,,,
A.3.1.1,731,3,0.5252628294081298,-3.3012848475903214,72.60256969518065,2.035029994227921e-06,,,
A.D.3.6,757,3,0.5207514923468091,-1.588294929931222,69.17658985986245,1.1251602443895503e-05,*,,
