,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.3,128,18,3.7821666500362525,,,,*,*,*
A.D,2353,18,3.586741951457864,3.586741951457863,8.826516097084273,0.8228346580560182,*,*,
A.3.1.1,731,18,3.495916757999737,3.4959167579997374,9.008166484000526,0.7520142543193825,*,*,
A.3.1.NmC1,0,18,3.2888137845182115,3.288813784518208,9.422372430963584,0.6126263941844159,*,*,
A.D.4.NmC3,0,18,3.1958173887811654,3.195817388781165,9.60836522243767,0.5571058618121739,*,*,
A.D.5.3,354,18,2.6103828523932293,2.6103828523932195,10.779234295213561,0.31036694126548503,*,*,
A.3.1,1992,18,2.100013215150124,2.1000132151501214,11.799973569699757,0.18637397603940986,*,*,
A.D.NmC2,0,18,2.077869602289497,2.077869602289497,11.844260795421006,0.1826835240527346,*,*,
A.D.4.NmC1,0,15,1.7777492939723913,1.5242067798125913,12.951586440374818,0.1048735437362869,*,,
A.D.3.6,757,18,1.436372016051731,1.436372016051735,13.12725596789653,0.0958472021304986,*,*,
