,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D,2353,16,8.19471291776813,,,,*,*,*
A.D.NmC2,0,16,7.521350522459661,7.521350522459661,40.957298955080674,0.5091564206075488,*,*,
A.D.NmC1,0,12,5.915889097958095,2.728473921112632,50.54305215777474,0.004232341047032775,*,,
A.D.2.2.NmC1,0,12,4.6430261332529215,-0.10656648007382741,56.213132960147654,0.00024851682710795185,*,,
A.D.5.NmC1,0,12,2.7906542709749336,-3.58673925320438,63.173478506408756,7.656160041269804e-06,,,
A.D.2.1,76,12,2.7208910957066212,-4.649879828974611,65.29975965794922,2.6392916267814575e-06,,,
A.3.1.NmC2,0,3,0.7842629544639835,-51.87170968550851,159.743419371017,8.205441328436922e-27,,,
A.3.1,1992,3,0.6250728530767242,-17.618765478376382,91.23753095675276,6.147350130819891e-12,,,
A.3.1.1,731,3,0.5252628294081298,-3.1723903318520317,62.344780663704064,1.1594264752554606e-05,*,,
A.D.3.6,757,3,0.5207514923468091,-3.9868809414795043,63.97376188295901,5.132077551320205e-06,,,
