,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D,2353,16,2.507863414303827,,,,*,*,*
A.D.3,128,16,1.4769363836726086,1.4769363836726148,1.0461272326547704,0.35522638092495146,*,*,
A.D.1.7,89,16,1.3535732426779532,1.3535732426779594,1.2928535146440812,0.3150575369034133,*,*,
A.D.3.6,757,16,1.046177871614944,1.0461778716149404,1.9076442567701193,0.23107799147733024,*,*,
A.D.3.NmC1,397,16,1.007728771497753,1.0077287714977547,1.9845424570044905,0.22313016014842982,*,*,
A.D.4.NmC3,1653,16,0.9860293927404697,0.9860293927404717,2.0279412145190565,0.2176210568652329,*,*,
A.D.3.NmC2,401,17,0.9487368339133582,0.33626197015552484,3.3274760596889505,0.11360815367076377,*,*,
A.3.1.1,731,16,0.9406493807157332,0.9406493807157377,2.1187012385685247,0.20804518235702046,*,*,
A.D.2.2.NmC1,394,16,0.41936449240600915,0.4193644924060097,3.161271015187981,0.12368713581745483,*,*,
A.D.5.3,354,16,0.3773226369519307,0.37732263695194856,3.245354726096103,0.11824459037663544,*,*,
