,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.2.1,366,12,355.73744196698357,,,,*,*,*
A.D.3.12,401,479,27.06365753522941,-89.78865698530686,2599.577313970614,3.24302987958205e-194,,,
A.D.5.1,539,521,18.463866911317165,-287.35754577429896,2994.715091548598,5.097886480931813e-280,,,
A.D.3.1,46,522,17.856293627406053,-1154.377662057949,4728.7553241158985,0.0,,,
A.D.1.10,52,522,17.60829245259616,-1529.6173332918702,5479.23466658374,0.0,,,
A.D.3.3,1219,522,16.537673033852755,-225.06104695944558,2870.122093918891,5.80679351316035e-253,,,
A.D.1.9,133,522,16.128868755501948,-1543.2250772308155,5506.4501544616305,0.0,,,
A.D.1.5,246,522,15.787224666930978,-1043.1435020199854,4506.28700403997,0.0,,,
A.D.3.2,47,522,15.630216782638852,-1587.8874463899754,5595.774892779951,0.0,,,
A.D.1.8,105,522,15.434110428317759,-1333.2280813210427,5086.4561626420855,0.0,,,
