,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.2.1,366,12,200.71503957605512,,,,*,*,*
A.D.3.12,401,5,151.39054385362442,140.3564600309629,1923.2870799380742,6.109210258119467e-27,,,
A.D.5.1,539,501,7.798890607723913,-51.50146291191278,2307.0029258238255,2.9135149222393624e-110,,,
A.D.3.3,1219,482,6.722620443868012,-99.3728402368335,2402.745680473667,4.705100731282463e-131,,,
A.D.5.3,354,494,6.400087960847325,-61.72754249124024,2327.4550849824805,1.0509563943117062e-114,,,
A.D.1.7,89,494,3.241006629469178,-827.8975070453718,3859.7950140907433,0.0,,,
A.D.3.10,53,502,2.7512685822330187,-1325.2320463115873,4854.464092623175,0.0,,,
A.D.3.8,102,502,2.0848066508128693,-897.3195275232513,3998.6390550465026,0.0,,,
A.D.1.8,105,502,1.9402303576144604,-939.7949509874607,4083.5899019749213,0.0,,,
A.D.1.5,246,502,1.8463897508390161,-717.360975760958,3638.721951521916,0.0,,,
