,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.3.1,46,10,7.8867626569206335,,,,*,*,*
A.D.5.3,354,10,7.8522577825155375,7.8522577825155375,22.295484434968927,0.9656054162575664,*,*,
A.D.5.1,539,10,7.815205905431034,7.815205905431034,22.369588189137932,0.9323938199059479,*,*,
A.D.3.12,401,10,7.765800252658944,7.765800252658944,22.46839949468211,0.8869204367171583,*,*,
A.D.3.3,1219,10,7.346279071270432,7.346279071270432,23.307441857459136,0.5827482523739902,*,*,
A.D.1.7,89,10,6.054404343583684,6.054404343583684,25.891191312832632,0.16041356777517274,*,*,
A.D.1.5,246,10,5.137210474255508,5.137210474255508,27.725579051488985,0.06392786120670757,*,*,
A.D.1.2,465,10,4.88238541966992,4.88238541966992,28.23522916066016,0.04953875432844392,*,*,
A.D.5.2,543,10,4.215590673108357,4.215590673108357,29.568818653783286,0.025476469946681016,*,*,
A.D.1.11,36,7,1.8748803331822377,-4.983453534561815,47.96690706912363,2.5741272843333375e-06,,,
