,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.3.1,1992,40,1.6021403167914627,,,,*,*,*
A.D.3.12,401,39,1.5652776519635268,0.280918126339352,31.438163747321298,0.3214221213343914,*,*,
A.D.4.NmC3,1653,41,1.4588844075991716,1.0368096113177885,29.92638077736442,0.6838614092123565,*,*,
A.3.1.NmC2,67,38,1.2378035074388833,-13.908317805438012,59.81663561087602,2.2102279410515334e-07,,,
A.3.1.NmC1,266,37,0.7257578663344475,-29.27176581099148,90.54353162198296,4.717086310637293e-14,,,
A.D.3.6,757,37,0.7151335964142334,-2.2917244894599933,36.58344897891999,0.024600217367638347,*,,
A.D.1.3,154,37,0.6860175376849611,-37.01365472652328,106.02730945304656,2.0420344307714415e-17,,,
A.D.3.NmC1,397,37,0.6793577907297106,-11.200166437286654,54.40033287457331,3.3218124676739313e-06,,,
A.D.3.NmC2,401,37,0.6666906346474946,-22.920916775523185,77.84183355104636,2.7004975206280508e-11,,,
A.2.1.1,31,37,0.6590664918358016,-61.82927207788999,155.65854415577996,3.4122865320140134e-28,,,
