,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.4.NmC1,2189,6,11.08243120498788,,,,*,*,*
A.D.NmC2,637,15,0.0,-61.47963797749287,148.95927595498574,3.073211099798018e-32,,,
A.D.1.2,465,15,0.0,-42.58839703927126,111.17679407854251,4.913773753631824e-24,,,
A.D.2.2.1,40,15,0.0,-37.270330145109476,100.54066029021895,1.0042961550024306e-21,,,
A.D.2.2,545,15,0.0,-90.0,206.0,1.263321156515908e-44,,,
A.D.2.1,76,15,0.0,-90.0,206.0,1.263321156515908e-44,,,
A.D.2,2386,15,0.0,-83.64072360540312,193.28144721080625,7.30510855710432e-42,,,
A.D.1.9,133,15,0.0,-39.139512713100814,104.27902542620163,1.5478580095583182e-22,,,
A.D.1.8,105,15,0.0,-42.88650622747005,111.7730124549401,3.658459773239842e-24,,,
A.D.1.7,89,15,0.0,-42.374187253310225,110.74837450662045,6.092400847440021e-24,,,
