,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.NmC1,0,12,22.25683870775984,,,,*,*,*
A.D.4.NmC3,0,1,19.5500141435779,11.104732693643244,47.790534612713515,1.4375287090029125e-05,*,,
A.D.4.NmC2,0,1,13.207593388677795,4.786986416331521,60.426027167336954,2.587470464789842e-08,,,
A.D.NmC2,0,28,7.002241027521979,2.3203903412821116,65.35921931743577,2.1995786888274708e-09,,,
A.D.3.NmC2,0,30,3.9684969552980345,-55.488409567182565,180.97681913436514,1.7209787364331648e-34,,,
A.D.3,128,29,3.952292838344701,-13.726448526803473,97.45289705360695,2.3663802996371333e-16,,,
A.D,2353,29,3.9320805555304164,-3.8385780759882278,77.67715615197646,4.646067281909362e-12,,,
A.D.3.6,757,30,3.7320876559083485,-29.13779855844659,128.27559711689318,4.7800793121372704e-23,,,
A.D.3.NmC1,0,30,2.5783694877051846,-52.70616717725627,175.41233435451255,2.7879542099998297e-33,,,
A.3.1.NmC1,0,29,0.8424933714148747,-83.4535234504069,236.9070469008138,1.2323393550705973e-46,,,
