,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.2.1.1,31,17,23.619749767477607,,,,*,*,*
A.2.1,366,17,22.965593393430765,21.174808465563824,-2.349616931127649,1910.2702439287732,*,*,
A.3,202,18,6.195301052269937,6.195301052269937,27.609397895460127,0.000596160876684359,*,*,
A.D.1.7,89,10,1.1958870417029175,-40.11594215829467,120.23188431658934,4.6045375069262465e-24,,,
A.D.3.NmC1,0,10,0.9511665733529426,-40.90488753280151,121.80977506560302,2.089745382200873e-24,,,
A.D.3.10,53,10,0.9169745381019538,-55.316229653693746,150.63245930738748,1.1532139573093352e-30,,,
A.D.1.10,52,10,0.8979263431313029,-44.04041828752872,128.08083657505745,9.09034096916597e-26,,,
A.D.3.1,46,10,0.8979263431313029,-42.55851877808638,125.11703755617276,3.993337409857663e-25,,,
A.D.3.3,1219,10,0.895307740733017,-23.933570003405677,87.86714000681135,4.898585945407777e-17,,,
A.D.4,176,10,0.892228322016642,-39.966562510418306,119.93312502083661,5.349709347473625e-24,,,
