,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.5.NmC1,0,28,25.778356794244523,,,,*,*,*
A.D.2.1,76,35,22.02427475050906,19.085021085576283,73.82995782884743,0.030500872171217427,*,,
A.D.2.2.NmC1,0,16,9.62750588640472,-5.371338394535075,122.74267678907015,7.305344539098904e-13,,,
A.D.5,115,16,6.781368588074736,-143.21863141192526,398.4372628238505,9.911659471541382e-73,,,
A.D.NmC2,0,12,4.689890540053884,-173.25650364192046,458.5130072838409,8.955948939763417e-86,,,
A.D.NmC1,0,9,4.541144608532097,-194.24000728135516,500.4800145627103,6.893533749312974e-95,,,
A.D,2353,9,4.153760370908277,-142.00501241837634,396.0100248367527,3.340520708451402e-72,,,
A.3.1.NmC2,0,3,0.7842629544639835,-225.88108179848297,563.7621635969659,1.2513087997582475e-108,,,
A.3.1,1992,3,0.6250728530767242,-56.740927956788276,225.48185591357657,3.580413350537898e-35,,,
A.3.1.1,731,3,0.5252628294081298,-23.97869040101224,159.9573808020245,6.045335318245314e-21,,,
