,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D,2353,5,11.195940945622661,,,,*,*,*
A.D.NmC2,637,6,8.597469494675718,-1.4025305053242845,62.80506101064857,3.3720152341391786e-06,,*,
A.D.3,128,6,8.222039541675668,-1.777960458324332,63.55592091664867,2.3175499183436873e-06,,*,
A.D.4.NmC3,1653,6,7.674986864423292,-2.325013135576706,64.65002627115341,1.3438122776315165e-06,,*,
A.D.NmC1,515,6,3.7613655124731085,-6.238634487526892,72.47726897505379,2.6796354092732728e-08,,*,
A.D.4.NmC2,848,6,3.594907654635663,-6.405092345364334,72.81018469072868,2.2720459927738556e-08,,*,
A.D.3.NmC2,401,20,3.2885091812135383,-28.946040062760204,117.89208012552041,3.6933417587293016e-18,,,
A.D.3.6,757,20,3.2061985234550625,-12.220811657844607,84.44162331568921,6.776332476558779e-11,,,
A.D.3.NmC1,397,20,2.191921685626094,-20.506118039477784,101.01223607895557,1.7094835407045314e-14,,,
A.3.1.1,731,17,0.36231214430565045,-4.901418400209088,69.80283680041818,1.023364420653479e-07,,,
