,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
A.D.4.NmC3,0,22,66.26362116082439,,,,*,*,*
A.D.3,128,50,26.236973178979135,-212.4793038786367,600.9586077572734,8.761624607878606e-122,,,
A.D.4.NmC2,0,44,11.463787826940212,-109.3605106491152,394.7210212982304,5.3337372257984294e-77,,,
A.D.NmC2,0,68,10.431758464889876,-299.3128971781661,774.6257943563322,1.7006827465490273e-159,,,
A.D,2353,70,10.112329769356794,-411.873134065097,999.746268130194,2.220426607051962e-208,,,
A.D.NmC1,0,83,5.100147052662735,-361.758954252541,899.517908505082,1.2915296574925272e-186,,,
A.D.4.NmC1,0,44,4.958361015553277,-98.46390873650638,372.92781747301274,2.8752128191771085e-72,,,
A.D.3.NmC2,0,84,3.9684969552980345,-144.13369800884544,464.2673960176909,4.211540753530553e-92,,,
A.D.3.6,757,84,3.7320876559083485,-455.6476215093248,1087.2952430186497,2.163692190002978e-227,,,
A.D.3.NmC1,0,84,2.5783694877051846,-165.84216207421892,507.68432414843784,1.5778992794349457e-101,,,
