,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.D.4,1413,10,4.390616005221934,,,,*,*,*
B.D.4.1.2,1305,11,3.5540926795275425,3.236651744492722,9.526696511014556,0.3150575369034134,*,*,
B.D.4.NmC1,1212,10,2.113702123567734,2.1137021235677356,11.772595752864529,0.1027969084352864,*,*,
B.D.E.3,125,11,1.8360188843013892,-8.163981115698611,32.32796223139722,3.5272218789462017e-06,,*,
B.D.1,334,15,1.3274918494250478,-9.597489009100112,35.194978018200224,8.440956663652067e-07,,,
B.D.E.5,276,12,1.3207019155518083,-18.679298084448178,53.358596168896355,9.568113149217568e-11,,,
B.D.NmC1,1726,14,1.1375552227355339,-20.674851365841885,57.34970273168377,1.3013940329069591e-11,,,
B.D.3,433,14,1.0467036033260655,-22.537476087189862,61.074952174379725,2.0259143224784246e-12,,,
B.3,60,15,0.8695365586954864,-54.39882031203972,124.79764062407943,2.936482445258315e-26,,,
B.D,150,14,0.36681641377631635,-22.052669853954576,60.10533970790915,3.2740282775933422e-12,,,
