,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.D.E.5,276,529,693.7541770467054,,,,*,*,*
B.D.E.4,1372,537,581.5387753386607,569.5750841633511,498.8498316732978,1.1730357207482353e-54,,,
B.D.4.1.2,1305,537,281.9077115877442,271.59950274215873,1094.8009945156825,4.5752306415230614e-184,,,
B.D.E.1,1124,537,198.59690729090008,186.6626978640218,1264.6746042719565,5.93760320844162e-221,,,
B.D.E.1.2,165,195,54.607997281373244,-130.05876506935664,1898.1175301387134,0.0,,,
B.D.E.1.8,76,15,13.875980975441859,-641.8105875536854,2921.6211751073706,0.0,,,
B.D.E.7,23,15,13.569231684445354,-355.48482299283785,2348.969645985676,0.0,,,
B.D.E.6,17,12,11.215876046645946,-341.10022453480775,2320.2004490696154,0.0,,,
B.D.E.1.7,29,15,9.364265174586656,-617.3269257075187,2872.6538514150375,0.0,,,
B.D.E.1.1,68,6,6.999864652407529,-608.8104858642461,2855.620971728492,0.0,,,
