,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.D.E.5,276,537,750.9338386448135,,,,*,*,*
B.D.E.4,1372,544,463.4142665054693,446.03705940292474,751.9258811941505,3.008382206064625e-134,,,
B.D.4.1.2,1305,535,248.40393132296808,228.13332879850515,1187.7333424029898,7.007537080842351e-229,,,
B.D.E.1,1124,535,181.38446386845706,164.4510074836104,1315.0979850327792,1.540002140678772e-256,,,
B.D.E.1.2,165,188,50.55008308968157,-73.33232567123088,1790.6646513424616,0.0,,,
B.D.E.6,17,14,22.72300824276425,-363.4342598643108,2370.8685197286213,0.0,,,
B.D.E.1.8,76,15,4.102923603189367,-632.8998000256671,2909.799600051334,0.0,,,
B.D.E.7,23,15,3.967490804083832,-433.54773201931494,2511.09546403863,0.0,,,
B.D.E.1.1,68,8,0.0015332310118418846,-640.6723098051649,2925.3446196103296,0.0,,,
B.D.E.1.7,29,15,-0.3396274173959084,-588.6268562845896,2821.2537125691792,0.0,,,
