,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.D.3,433,20,3.490717277022952,,,,*,*,*
B.D,150,19,2.2939068131527307,-7.706093186847275,19.41218637369455,1.3742738258695716e-05,*,*,
B.D.E.5,276,20,1.9974096281163725,1.9974096281163884,0.005180743767223106,0.22424860473053537,*,*,
B.D.NmC1,1726,20,1.5681563175920346,1.5681563175920363,0.8636873648159273,0.14660696213035015,*,*,
B.D.1,334,19,1.4508414998534853,1.2211491655891393,1.5577016688217213,0.1033121800831002,*,*,
B.D.4.NmC1,1212,19,1.1427845792126519,-0.3757939287042533,4.751587857408507,0.0209629224370517,*,*,
B.D.4.1.2,1305,19,0.8271971760286192,0.56968858171652,2.86062283656696,0.05393368730035602,*,*,
B.D.4,1413,19,0.8015702015958643,-0.4004478931305723,4.800895786261145,0.020445346037937663,*,*,
B.3,60,19,0.0,-20.0,44.0,6.286698316324042e-11,,*,
B.D.1.NmC1,605,19,0.0,-12.278740181129805,28.55748036225961,1.416367720190751e-07,,*,
