,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
B.D.4.NmC1,1212,9,4.356420555372463,,,,*,*,*
B.D,150,9,3.8864935845338593,-0.41968215861898983,46.83936431723798,0.041378245800970284,*,*,
B.D.4,1413,9,3.7781136351418825,1.6934938858404238,42.61301222831915,0.3430085174187066,*,*,
B.D.4.1.2,1305,6,3.676438116979398,3.2457168469852196,39.508566306029564,1.616074402192894,*,,
B.D.E.5,276,6,3.290842622504897,2.807600855082125,40.38479828983575,1.046027859908715,*,,
B.D.NmC1,1726,9,2.5358219949639498,2.2966957157544594,41.40660856849108,0.6250022682827016,*,*,
B.D.E.3.NmC1,1318,6,1.5356610249321392,0.663753256756885,44.67249348648623,0.12245642825298174,*,,
B.D.E.3,125,6,0.8573804286300764,-0.02874387997117689,46.057487759942354,0.06111487433258825,*,,
B.D.E.6,17,18,0.7597449549202793,-26.06165163052749,98.12330326105499,3.0301320787645753e-13,,,
B.D.E.7,23,18,0.7597449549202224,-34.81951581066083,115.63903162132166,4.753810851424468e-17,,,
