,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XEC.4,192,5,253.94017419444242,,,,*,*,*
XEC.8,592,5,249.76504097525387,240.96756181232635,-169.9351236246527,0.015607557919982886,*,*,
KP.3.3,1715,5,240.99367482879063,238.46925732370318,-164.93851464740635,0.0012811463703842159,*,*,
XEC.2,921,5,233.43469272093307,230.89423685602216,-149.78847371204432,6.573823659524022e-07,,*,
KP.3.1.1,12013,5,222.7246923829995,220.18920306729325,-128.3784061345865,1.4746726352189243e-11,,*,
MC.24.1,25,5,218.68808231607863,216.1068044566475,-120.21360891329499,2.480862318772682e-13,,*,
XEC.32,42,5,212.64946933774132,203.82261242438125,-95.6452248487625,1.1520369931791902e-18,,*,
XEC.15,127,5,209.86149074865813,201.0505071844544,-90.1010143689088,7.182890365186697e-20,,*,
XEC.30,135,5,207.35593161347091,198.551661483619,-85.103322967238,5.89607545741966e-21,,*,
XEC.9,305,5,205.5937292590622,196.76687234570227,-81.53374469140454,9.893441331903488e-22,,*,
