,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XFJ.1,59,120,207.71538897606473,,,,*,*,*
XFJ.3,14,120,193.2893597508924,193.2893597508924,-106.5787195017848,5.436283520176344e-07,,*,
LF.7.9,20,138,189.9490824060977,180.92270797040058,-81.84541594080116,2.3187334640207156e-12,,,
JN.1.4,8971,138,167.22610349762235,139.78374628630303,0.43250742739394354,3.150473597097727e-30,,,
LF.7,58,138,158.65076907371534,149.23667121138624,-18.473342422772475,4.0036739130734357e-26,,,
JN.1,17255,138,145.58274583584472,117.74936437249056,44.50127125501888,8.485880967557465e-40,,,
LF.7.2.1,67,138,145.1433564893283,135.70799379736616,8.584012405267686,5.353352369600739e-32,,,
KP.2.3,4440,138,141.80027488105208,128.62551778140437,22.748964437191262,4.4838329722352084e-35,,,
LF.7.1,165,139,141.49699123865747,131.908980570002,16.182038859996,1.1975862452600195e-33,,,
LF.7.1.2,26,138,139.20054451094526,129.67724735665115,20.6455052866977,1.2813230306316387e-34,,,
