,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XDY.6,11,134,237.23505989577166,,,,*,*,*
XDY.5,17,134,237.10781216263126,237.10781216263126,-176.21562432526252,0.8824969025845955,*,*,
XDY.7,10,134,229.32963429099794,229.32963429099794,-160.6592685819959,0.0003688944493368696,*,*,
LB.1.2.1,155,134,227.88617176650368,227.88617176650368,-157.77234353300736,8.696541909440338e-05,*,*,
XDY.3,16,134,207.30374152320516,207.30374152320516,-116.60748304641032,1.003612719117346e-13,,*,
LB.1.1,52,134,198.64456510858656,198.64456510858656,-99.28913021717312,1.7401069570370427e-17,,*,
KP.2,1589,134,194.38526051834307,194.38526051834307,-90.77052103668615,2.4574316673307174e-19,,*,
LB.1.3,778,134,191.6962616468715,191.6962616468715,-85.39252329374301,1.6681277002032342e-20,,*,
KP.3.2,737,134,189.4750616119098,189.4750616119098,-80.95012322381962,1.8117386292530015e-21,,*,
LB.1.2,199,134,189.41046277364313,189.41046277364313,-80.82092554728627,1.697721321616956e-21,,*,
