,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
LF.7,58,11,12.675917716727696,,,,*,*,*
NL.4.1,26,12,9.730527730320366,-10.269472269679635,30.53894453935927,2.388129821020858e-06,,*,
JN.1.1.6,13,12,8.025779638081943,-11.97422036191806,33.94844072383612,4.340960560635139e-07,,*,
XEC.39,155,12,7.6202729057984495,-12.379727094201552,34.759454188403105,2.895320030794847e-07,,*,
KS.1,505,11,7.54534040674487,-2.45465959325513,14.90931918651026,0.005916560473681857,*,*,
EA.1,124,13,6.980937934722078,-23.019062065277975,56.03812413055595,6.931117918055473e-12,,,
HF.1.1,292,13,6.980937934722078,-30.070499029298038,70.14099805859607,6.0121137662723955e-15,,,
EA.2,17,13,6.980937934722078,-23.019062065277975,56.03812413055595,6.931117918055473e-12,,,
BA.5.2.35,1368,13,6.978009674942882,-23.02199032505706,56.04398065011412,6.931117918055473e-12,,,
BQ.1.1.52,476,13,6.968252775194742,-23.03174722480529,56.06349444961058,6.8621521424666895e-12,,,
