,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
XFJ.1,59,7,302.6696871093037,,,,*,*,*
XFJ.3,14,7,290.75778553416944,270.75778553416933,-213.51557106833866,6.722839150635621e-06,,*,
LF.7.9,20,7,250.88257702023725,230.88257702023716,-133.76515404047433,3.2363855589290185e-23,,*,
LF.7.2.1,67,7,189.4025133113493,169.4025133113494,-10.80502662269879,6.451125745099224e-50,,*,
PC.3,42,7,180.6693366330827,151.9435804136312,24.11283917273761,1.6859855697242287e-57,,*,
LF.7,58,7,175.62496083761613,155.62496083761604,16.750078324767912,6.68432482979571e-56,,*,
PC.4,10,7,174.44264020285908,154.44264020285908,19.114719594281837,2.053950902099862e-56,,*,
PC.3.1,27,7,171.86514360367607,143.15303016062828,41.69393967874345,2.5668787653725278e-61,,*,
LF.7.9.1,48,7,168.4448879865293,139.3959955541146,49.20800889177082,5.976653874676895e-63,,*,
PY.2,17,7,167.2915454319009,130.50405788926088,66.99188422147824,8.233417936498208e-67,,*,
