,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
JN.1,17255,28,37.93331628012887,,,,*,*,*
KP.2.3,4440,28,35.95441889751517,29.166822489489196,37.66635502102161,2.773194763964297,*,*,
KP.3.1.1,12013,28,32.66024052709519,12.226125739636466,71.54774852072707,1.2190789943191556e-07,,*,
JN.1.4,8971,28,31.196676833913642,24.752323394053,46.495353211894,0.03354055417214865,*,*,
JN.1.48,10,11,24.419246288827562,-26.330484535108205,148.66096907021642,2.1968889190930547e-24,,,
MC.13.1,123,12,23.122272100504464,-32.20886398721952,160.41772797443906,6.139832801972904e-27,,,
KP.2.3.11,56,11,22.642093541412905,-43.65770965495312,183.31541930990625,6.538599349633735e-32,,,
JN.1.63,60,11,22.541686829796173,-22.07104073487025,140.1420814697405,1.5556166801186353e-22,,,
JN.1.2,650,28,22.494417887388074,-2.3611748639902155,100.72234972798043,5.647377634439187e-14,,*,
JN.1.7,1974,28,22.121485127932253,4.418752109819263,87.16249578036147,4.970080429295842e-11,,*,
