,num_seq,t_ch_MAX,max_CL,CL@BC_t_ch_MAX,aic,PV,PV_OK,t_ch_MAX_OK,phyl_OK
LF.7,58,142,301.21840182103887,,,,*,*,*
XFG.3,480,142,294.1176593540304,294.1176593540304,-264.23531870806084,0.0008251049232659089,*,*,
XFG.2,500,144,269.9593250521513,268.42915209739573,-212.85830419479146,5.747565621050555e-15,,,
XFG.3.1,87,142,263.31654671100506,263.31654671100506,-202.63309342201012,3.4519751721923396e-17,,*,
XFG.1,14,142,247.46641080834263,247.46641080834263,-170.93282161668526,4.513361555480319e-24,,*,
LF.7.7.1,188,142,213.48079333040076,213.48079333040076,-102.96158666080152,7.852395360929335e-39,,*,
LF.7.1.4,12,142,206.56275398589403,206.56275398589403,-89.12550797178807,7.795712520820046e-42,,*,
LF.7.6,15,142,205.46539674859383,205.46539674859383,-86.93079349718766,2.5949672750040707e-42,,*,
LF.7.1.8,44,142,201.84747522145761,201.84747522145761,-79.69495044291523,6.950016903541656e-44,,*,
LF.7.1,165,144,201.1800618561052,198.56175936434659,-73.12351872869317,2.6021269927767155e-45,,,
